Valor,Categoria
Twister,En Casa
Sushi,Cocina
Cuadro Juntos,DIY
Competicion de Cocina,Cocina
Tintar Ropa,DIY
Aprender Malabares,Activo
Tenis,Activo
Ping Pong,Activo
Obra de Teatro,Fuera de Casa
Escape Room,Planificada
Competicion Mario Kart,En Casa
Ir a un concierto,Especial
Ruta de montaña en bici,Naturaleza
Noodles,Cocina
Crear vuestra familia imaginaria en Los Sims,En Casa
Servidor de Minecraft juntos,En Casa
Crear la casa de ensueño en Los Sims,En Casa
Comprar y Jugar con un Quimicefa,DIY
Montar un LEGO juntos,DIY
Jugar al escondite,En Casa
Yoga en Casa,Activo
Tiro con arco en casa,Activo
Noche de Pintar Desnudos,Especial
Nueva Receta,Cocina
Hacer Mermelada,Cocina
Masajes,En Casa
Pelicula de Miedo,En Casa
Juego de Mesa,En Casa
Quizz Online,En Casa
Hacer rankings en casa,En Casa
Print&Play Murder Misterys,En Casa
Hacer una Bucket list,En Casa
Decluttering,En Casa
Competición de Aviones de Papel,En Casa
Aprender una coreografia juntos,Activo
Baño Spa,En Casa
Vuelta con la bici,Activo
Ir al Gimnasio juntos,Activo
Laser Tag,Activo
Karts,Activo
Sacar de paseo a perros (Voluntariado),Activo
Picnic fuera de casa,Naturaleza
Ir a patinar,Activo
Patinaje sobre hielo,Activo
Jugar a los bolos,Activo
Dardos,Activo
Baloncesto,Activo
Futbol,Activo
Nueva ruta de Senderismo,Activo
Ir a un parque de tirolinas,Activo
Escalada,Activo
Prepararse para una carrera juntos,Activo
Cine Drive In,Fuera de Casa
Mini Golf,Fuera de Casa
Ir a un bar Azotea,Fuera de Casa
Noche de Trivia,En Casa
Ir a la playa,Naturaleza
Subir al monte,Naturaleza
Hacer una ruta de senderismo,Naturaleza
Museo,Fuera de Casa
Galeria de arte,Fuera de Casa
Noche de Humoristas,Planificada
Pintar Arcilla,DIY
Hacer objetos de arcilla,DIY
Nuevo Restaurante,Fuera de Casa
Bed&Breakfast por una noche,Planificada
Opera,Especial
Symphony,Especial
Lanzar hachas,Activo
Reservar para una cena lujosa,Planificada
Clase de Baila,Planificada
Kayak,Activo
Buceo,Activo
Camping,Naturaleza
Clase de Pintura,Planificada
Comprar entradas para ver un deporte,Planificada
Comprar Antiguedades,Fuera de Casa
Noche de Hotel en nueva Ciudad,Especial
Masaje en parejas,Especial
Raclette,Cocina
Competición de cocina de Brownies,Cocina
Pelea de pistolas de agua,Fuera de Casa
Crear un Scapbook,DIY
Crear y esconder una capsula del tiempo,DIY
Comida a domicilio,Cocina
Aprender un baile de Tik Tok,En Casa
